"GID"	"ENV"	"Yield"
"322"	"Oat23"	"Env2"	5968.839311
"323"	"Oat146"	"Env1"	6350.745933
"324"	"Oat102"	"Env3"	5634.060071
"325"	"Oat252"	"Env2"	6956.238
"326"	"Oat155"	"Env1"	5668.589547
"327"	"Oat153"	"Env2"	6316.589423
"328"	"Oat305"	"Env3"	5902.942209
"329"	"Oat324"	"Env3"	5787.795985
"330"	"Oat1"	"Env4"	5984.449011
"331"	"Oat249"	"Env4"	6223.784273
"332"	"Oat142"	"Env4"	6311.366942
"333"	"Oat96"	"Env4"	6641.825209
"334"	"Oat185"	"Env3"	5984.291203
"335"	"Oat53"	"Env1"	6225.666283
"336"	"Oat290"	"Env1"	6209.343743
"337"	"Oat31"	"Env1"	6159.581134
"338"	"Oat39"	"Env1"	6704.696592
"339"	"Oat316"	"Env2"	7589.910655
"340"	"Oat177"	"Env1"	5627.569296
"341"	"Oat270"	"Env3"	6217.691133
"342"	"Oat93"	"Env4"	7086.108286
"343"	"Oat128"	"Env1"	7138.324273
"344"	"Oat158"	"Env2"	6205.408464
"345"	"Oat306"	"Env4"	6499.748086
"346"	"Oat32"	"Env2"	7089.85918
"347"	"Oat74"	"Env3"	5624.248743
"348"	"Oat103"	"Env4"	6321.885489
"349"	"Oat301"	"Env3"	6368.48828
"350"	"Oat63"	"Env2"	6320.648846
"351"	"Oat186"	"Env1"	6937.679644
"352"	"Oat306"	"Env2"	5518.780296
"353"	"Oat297"	"Env3"	6088.373672
"354"	"Oat270"	"Env4"	6896.609468
"355"	"Oat73"	"Env3"	5258.943019
"356"	"Oat202"	"Env1"	5379.295155
"357"	"Oat312"	"Env1"	6579.194662
"358"	"Oat82"	"Env4"	6406.154023
"359"	"Oat38"	"Env1"	5761.552448
"360"	"Oat154"	"Env2"	5396.356573
"361"	"Oat49"	"Env2"	6554.70241
"362"	"Oat76"	"Env2"	6455.437242
"363"	"Oat69"	"Env1"	5995.36373
"364"	"Oat218"	"Env4"	5976.918759
"365"	"Oat174"	"Env2"	6775.02439
"366"	"Oat317"	"Env4"	6099.117404
"367"	"Oat182"	"Env4"	6878.036464
"368"	"Oat309"	"Env2"	7107.87222
"369"	"Oat238"	"Env1"	6144.069434
"370"	"Oat291"	"Env3"	5810.528739
"371"	"Oat293"	"Env1"	6048.916887
"372"	"Oat106"	"Env3"	5991.852364
"373"	"Oat15"	"Env3"	6394.895192
"374"	"Oat67"	"Env1"	5744.48388
"375"	"Oat141"	"Env2"	7027.219593
"376"	"Oat269"	"Env1"	6499.84627
"377"	"Oat195"	"Env1"	6793.724432
"378"	"Oat191"	"Env1"	6644.893868
"379"	"Oat265"	"Env2"	7402.352557
"380"	"Oat20"	"Env3"	5319.589121
"381"	"Oat201"	"Env3"	6558.109527
"382"	"Oat244"	"Env2"	6499.143393
"383"	"Oat26"	"Env2"	7282.911727
"384"	"Oat82"	"Env3"	4576.506027
"385"	"Oat217"	"Env3"	7285.95282
"386"	"Oat276"	"Env2"	5370.15989
"387"	"Oat266"	"Env2"	7503.930877
"388"	"Oat282"	"Env3"	6948.053337
"389"	"Oat307"	"Env1"	6166.456544
"390"	"Oat305"	"Env4"	6771.79062
"391"	"Oat145"	"Env3"	5621.99649
"392"	"Oat260"	"Env1"	5791.220882
"393"	"Oat258"	"Env4"	7273.013454
"394"	"Oat201"	"Env1"	6714.693035
"395"	"Oat239"	"Env3"	5657.761638
"396"	"Oat180"	"Env3"	5536.832232
"397"	"Oat113"	"Env3"	6592.114565
"398"	"Oat315"	"Env2"	6729.91697
